sale_id,store_id,product_id,customer_id,quantity,price,discount,sale_date,revenue
43,4,49,C535,1,364,18.24,2022-02-06 05:24:41,291.2
44,14,60,C556,5,388,18.25,2021-02-23 05:32:24,1843.0
45,7,71,C1722,4,450,6.71,2021-11-07 05:42:28,1710.0
46,7,80,C1484,4,493,2.53,2021-03-19 23:56:43,1972.0
47,5,41,C907,2,39,3.23,2021-12-08 07:25:44,62.400000000000006
48,12,80,C1052,4,310,8.86,2023-09-20 00:25:07,1116.0
49,4,12,C1062,4,21,8.56,2022-02-04 17:13:26,75.60000000000001
50,14,80,C932,1,187,17.49,2021-01-20 03:21:28,177.65
51,12,69,C1891,1,149,2.35,2021-04-17 13:43:27,141.54999999999998
52,15,32,C281,2,120,10.77,2022-07-01 13:17:40,228.0
53,10,6,C1551,2,152,2.51,2021-11-08 07:28:19,304.0
54,13,82,C1809,5,435,14.75,2022-01-20 22:13:49,1740.0
55,5,62,C99,4,335,3.55,2021-07-30 14:15:05,1206.0
56,2,68,C916,1,318,2.42,2022-03-12 19:54:31,270.3
57,6,49,C130,2,119,19.62,2021-01-28 17:19:44,214.20000000000002
58,13,50,C1590,4,337,4.04,2022-06-10 13:46:57,1213.2
59,13,63,C1374,4,409,16.73,2021-03-03 00:11:44,1390.6
60,13,95,C266,5,401,4.96,2023-01-01 08:02:00,1904.75
61,3,25,C677,3,286,12.89,2023-01-29 16:26:35,772.2
62,9,59,C608,2,31,8.74,2021-06-26 04:12:08,49.6
63,7,48,C1860,4,305,18.68,2022-11-27 04:02:00,976.0
64,2,18,C687,4,401,14.19,2022-10-07 20:11:48,1363.3999999999999
65,10,86,C1710,5,38,17.2,2023-10-19 14:13:31,190.0
66,2,86,C780,4,422,8.89,2021-07-23 06:41:50,1603.6
67,4,27,C1933,4,412,10.88,2021-12-22 19:32:29,1400.8
68,8,96,C1541,3,227,17.99,2022-05-03 22:09:15,612.9
69,14,53,C310,5,152,12.02,2023-01-26 12:32:50,646.0
70,6,29,C473,4,403,11.21,2023-08-10 00:11:59,1531.3999999999999
71,11,10,C234,1,272,19.88,2021-03-30 14:02:43,217.60000000000002
72,9,73,C121,2,74,11.92,2023-05-30 19:47:15,148.0
73,2,84,C598,4,335,4.33,2022-02-10 16:14:15,1072.0
74,12,7,C1104,3,152,18.57,2021-06-25 04:38:20,410.40000000000003
75,6,57,C1905,5,412,1.21,2023-09-06 00:03:44,1957.0
76,11,14,C215,5,50,7.45,2021-11-05 21:23:21,200.0
77,10,10,C725,2,120,13.43,2022-10-13 17:50:06,240.0
78,14,21,C948,4,119,17.81,2021-12-03 03:39:57,476.0
79,10,74,C418,5,391,12.71,2021-07-07 05:52:29,1955.0
80,12,77,C1000,1,240,17.64,2022-01-22 21:42:13,204.0
81,12,95,C1821,3,74,5.24,2022-03-17 01:22:40,210.89999999999998
82,10,74,C666,1,397,17.83,2023-06-27 13:56:26,377.15
83,9,55,C1557,4,487,8.19,2023-08-06 14:51:16,1753.2
84,6,57,C1552,1,152,10.91,2023-10-10 05:47:48,152.0
85,6,77,C505,5,119,1.66,2023-02-15 06:38:23,535.5
86,14,64,C1215,5,152,0.1,2023-08-25 23:58:00,684.0
87,9,91,C212,2,322,12.43,2022-07-28 22:25:37,515.2
88,12,35,C119,4,149,10.65,2022-12-23 21:44:37,506.59999999999997
89,6,10,C1727,2,153,10.78,2021-07-24 19:56:46,290.7
90,3,18,C1568,4,122,4.81,2023-08-14 21:41:44,439.2
91,14,96,C573,4,308,6.13,2021-03-10 10:03:42,1047.2
92,4,99,C665,1,60,10.41,2023-02-04 08:59:34,51.0
93,15,90,C513,5,136,19.11,2021-02-21 00:14:45,680.0
94,10,12,C839,3,497,5.78,2022-01-31 13:39:48,1341.9
95,1,55,C1000,1,60,13.81,2021-02-05 22:39:56,60.0
96,8,9,C1272,1,116,10.89,2023-10-10 20:28:40,92.80000000000001
97,15,69,C339,1,38,3.85,2023-05-02 02:02:08,38.0
98,10,20,C1415,4,391,13.89,2021-01-02 11:01:07,1329.3999999999999
99,8,75,C1186,4,318,16.57,2022-12-21 07:11:16,1017.6
100,2,100,C19,1,57,10.85,2021-07-15 01:20:20,45.6
101,14,76,C192,1,106,4.69,2023-02-19 12:29:33,106.0
102,11,62,C613,5,306,4.01,2022-09-01 06:42:43,1377.0
103,13,80,C1678,5,322,11.03,2022-11-11 05:07:20,1529.5
104,10,16,C970,2,391,13.93,2023-01-30 04:21:34,703.8000000000001
105,4,67,C1105,2,497,19.67,2022-07-30 02:20:57,894.6
106,7,43,C197,5,163,11.99,2023-04-05 02:14:12,652.0
107,3,4,C1167,1,153,3.35,2021-03-03 21:01:51,130.04999999999998
108,9,20,C172,2,391,3.89,2021-07-31 06:52:23,782.0
109,11,86,C693,1,158,16.83,2022-05-25 03:06:58,150.1
110,9,41,C1951,2,401,16.16,2021-08-07 10:52:55,641.6
111,12,28,C1342,4,310,6.91,2022-02-19 02:53:14,1178.0
112,5,88,C1930,1,471,0.33,2022-12-28 10:47:20,423.90000000000003
113,6,76,C1566,2,122,15.94,2022-11-27 23:19:13,244.0
114,5,20,C1396,3,493,5.14,2022-07-29 16:33:56,1479.0
115,9,41,C1664,5,369,18.4,2021-02-10 16:07:58,1752.75
116,6,96,C1094,4,72,10.79,2023-05-14 07:06:35,259.2
117,5,97,C1046,4,437,19.56,2022-10-11 01:59:17,1485.8
118,8,37,C1336,1,53,10.2,2023-02-27 01:50:52,42.400000000000006
119,13,84,C1300,2,435,9.37,2023-08-26 20:55:41,870.0
120,12,98,C1460,4,106,13.29,2023-07-04 12:33:16,402.79999999999995
121,6,92,C1096,1,409,5.0,2023-11-02 17:58:54,327.20000000000005
122,11,32,C14,2,222,4.25,2023-02-09 17:36:10,399.6
123,11,91,C1193,1,337,15.02,2023-07-09 16:11:45,320.15
124,11,6,C1815,4,409,8.51,2022-10-02 07:55:05,1390.6
125,15,88,C1461,3,369,15.11,2021-06-09 00:02:30,996.3000000000001
126,9,17,C446,1,63,18.92,2022-06-27 14:46:03,59.849999999999994
127,4,58,C1035,1,401,11.34,2022-09-15 15:36:20,401.0
128,11,28,C89,3,217,9.78,2022-11-04 18:03:51,585.9
129,13,6,C1348,1,120,17.44,2021-11-23 21:46:55,120.0
130,3,67,C315,2,353,13.54,2022-09-10 17:34:00,600.1
131,10,77,C932,1,384,19.21,2021-07-20 11:51:03,307.20000000000005
132,8,94,C1868,4,245,2.41,2023-03-20 23:37:35,931.0
133,4,20,C571,5,50,7.32,2021-04-12 15:51:26,212.5
134,2,75,C882,3,344,7.1,2023-05-21 14:49:35,928.8000000000001
135,10,51,C1135,4,163,13.78,2022-05-30 07:01:01,586.8000000000001
136,1,5,C1668,4,353,18.17,2023-05-06 17:44:38,1129.6000000000001
137,14,52,C982,1,55,14.13,2023-08-04 12:44:25,44.0
138,1,15,C1780,3,163,15.7,2023-10-12 03:34:26,440.1
139,9,75,C1245,1,72,1.41,2021-09-21 14:35:20,72.0
140,13,87,C919,3,306,11.66,2021-08-13 14:27:53,734.4000000000001
141,6,44,C931,3,477,2.63,2022-02-14 11:19:06,1287.9
142,6,29,C166,3,369,10.16,2023-07-04 13:42:07,1051.6499999999999
143,4,70,C298,2,305,1.0,2022-03-22 23:04:49,579.5
144,11,20,C80,2,38,8.23,2023-02-27 21:56:24,64.6
145,13,62,C1641,2,74,7.58,2021-02-26 02:18:10,118.4
146,10,9,C140,4,337,1.41,2023-04-21 18:55:14,1213.2
147,15,30,C1529,4,409,5.08,2022-06-08 11:00:08,1636.0
148,6,47,C1722,3,471,6.12,2022-05-17 15:13:11,1130.4
149,14,3,C1692,3,180,17.6,2021-01-28 18:35:31,459.0
150,9,90,C1310,3,149,18.5,2023-09-12 06:28:18,357.6
151,10,27,C1254,4,401,20.0,2022-03-30 12:54:45,1283.2
152,10,22,C257,1,120,13.88,2023-06-19 20:52:47,96.0
153,12,76,C1816,1,194,7.31,2021-03-08 12:40:12,174.6
154,9,51,C798,3,152,10.38,2022-06-06 13:09:54,456.0
155,4,45,C1305,4,461,13.44,2022-07-14 03:17:59,1659.6000000000001
156,8,22,C1202,2,176,4.28,2022-03-08 11:53:17,299.2
157,14,92,C1599,3,322,2.55,2022-07-24 10:40:13,917.6999999999999
158,4,97,C1581,3,164,11.33,2022-04-05 05:50:26,442.8
159,15,57,C544,5,152,1.95,2021-04-07 14:13:11,760.0
160,6,58,C750,1,157,0.68,2021-05-19 04:33:29,133.45
161,13,95,C1411,2,39,2.68,2022-08-19 10:28:59,78.0
162,1,40,C650,4,159,5.41,2023-03-28 22:42:01,636.0
163,7,21,C1310,2,475,1.8,2023-03-06 18:10:47,950.0
164,1,42,C1475,2,384,4.7,2023-04-21 14:41:05,691.2
165,12,25,C1710,1,119,11.88,2021-10-03 21:38:51,113.05
166,14,37,C1191,4,391,1.7,2023-02-03 04:55:09,1251.2
167,2,18,C1260,5,353,15.26,2021-05-29 23:45:11,1412.0
168,5,18,C430,5,55,13.97,2023-04-19 01:46:41,261.25
169,3,94,C1712,3,475,10.53,2023-08-01 18:04:13,1140.0
170,11,73,C1845,1,384,10.73,2023-06-07 12:26:35,384.0
171,13,16,C102,3,369,2.68,2022-04-25 09:35:34,996.3000000000001
172,7,29,C612,4,217,11.21,2022-03-03 20:21:33,694.4000000000001
173,8,36,C968,1,74,3.01,2021-10-04 23:03:10,74.0
174,10,9,C1597,3,152,11.86,2021-04-10 06:26:45,387.59999999999997
175,14,8,C1819,3,356,10.31,2022-06-27 04:31:49,1014.5999999999999
176,12,77,C1107,4,57,18.86,2023-10-26 22:32:28,182.4
177,5,46,C360,2,152,5.1,2021-03-06 10:50:45,258.4
178,11,75,C988,1,487,13.98,2021-10-23 23:07:44,413.95
179,10,74,C1273,4,364,14.37,2021-06-07 02:51:29,1310.4
180,3,18,C990,3,356,3.56,2022-02-09 07:08:46,961.2
181,9,59,C1690,4,192,10.67,2021-05-14 03:55:57,614.4000000000001
182,14,61,C1993,1,388,16.17,2022-10-18 03:00:33,329.8
183,10,41,C1451,4,138,12.8,2023-07-05 09:04:47,441.6
184,13,83,C1796,3,190,4.92,2023-10-09 02:36:07,513.0
185,10,33,C738,1,322,16.51,2022-05-13 20:47:52,273.7
186,15,21,C142,3,493,14.69,2021-12-18 04:03:06,1183.2
187,6,24,C150,4,306,19.98,2022-07-02 21:48:10,1040.3999999999999
188,3,24,C811,5,60,2.82,2022-09-25 07:44:31,255.0
189,10,99,C1752,1,217,15.47,2021-03-10 18:04:09,195.3
190,14,71,C99,2,72,13.09,2021-11-03 16:36:36,136.79999999999998
191,6,92,C1265,5,138,4.75,2021-11-28 19:20:26,621.0
192,8,7,C1523,3,397,6.72,2023-09-15 21:44:20,1191.0
193,15,1,C1309,5,344,18.79,2022-09-23 11:23:35,1634.0
194,1,85,C938,2,397,8.47,2023-08-31 23:01:20,794.0
195,14,18,C758,5,384,16.61,2022-03-17 15:31:26,1824.0
196,5,88,C1278,4,159,11.94,2022-04-27 09:54:17,636.0
197,11,42,C1983,2,190,6.29,2022-04-29 09:22:41,342.0
198,2,27,C1008,4,53,10.96,2021-11-28 06:16:09,201.39999999999998
199,3,57,C227,1,159,10.79,2023-02-20 18:47:05,151.04999999999998
200,3,21,C1530,2,116,12.87,2022-08-20 09:47:55,185.60000000000002
201,1,35,C266,1,358,8.36,2023-07-02 06:45:10,340.09999999999997
202,11,10,C562,3,240,5.03,2023-08-03 03:16:38,648.0
203,12,16,C1771,3,384,11.9,2023-07-01 06:31:38,1094.3999999999999
204,10,83,C1996,3,149,13.92,2021-09-12 11:16:57,447.0
205,2,4,C106,5,106,9.79,2021-08-22 22:34:59,477.0
206,12,16,C1043,2,122,3.21,2021-05-17 01:31:02,219.6
207,5,46,C1672,3,335,19.56,2023-01-15 14:22:54,904.5
208,15,33,C1326,5,22,8.45,2021-09-13 18:10:10,99.0
209,9,90,C1918,3,477,18.81,2023-02-18 06:10:01,1216.35
210,11,91,C1875,3,344,13.21,2021-10-05 08:19:06,1032.0
211,11,45,C1190,3,497,7.84,2021-12-12 06:50:38,1341.9
212,7,29,C1453,4,358,9.61,2023-07-19 02:46:07,1145.6000000000001
213,9,55,C316,5,39,13.69,2021-12-24 12:17:48,185.25
214,5,10,C1909,2,475,1.72,2023-04-12 09:33:11,950.0
215,3,26,C744,4,157,15.97,2022-07-05 08:39:51,565.2
216,9,3,C415,3,409,16.4,2023-11-07 05:11:33,1227.0
217,10,10,C1774,3,344,11.41,2023-03-06 03:51:31,825.6
218,12,29,C1774,4,426,13.22,2022-08-19 13:36:07,1704.0
219,2,12,C1011,4,318,8.35,2022-04-05 09:11:38,1017.6
220,11,80,C978,3,253,15.64,2023-07-07 11:14:56,721.05
221,9,67,C357,4,306,5.41,2023-01-02 08:47:30,1101.6000000000001
222,2,26,C565,3,272,4.85,2022-04-01 02:10:58,652.8000000000001
223,5,76,C309,3,401,0.81,2023-08-23 19:34:05,1142.85
224,3,26,C335,5,158,2.05,2023-09-15 21:41:13,632.0
225,9,20,C18,3,190,19.95,2021-05-31 06:56:12,484.5
226,6,33,C430,2,286,18.18,2021-01-16 00:33:57,514.8000000000001
227,8,8,C698,5,426,6.58,2023-09-27 15:42:15,1704.0
228,11,1,C1405,5,406,11.97,2022-06-09 18:44:36,1725.5
229,2,61,C218,1,461,7.43,2023-06-20 19:33:43,414.90000000000003
230,5,95,C1939,5,152,10.2,2021-09-03 18:01:27,608.0
231,15,100,C1588,2,21,7.46,2022-06-26 06:51:49,37.800000000000004
232,6,30,C91,3,57,10.93,2021-08-26 13:41:16,153.9
233,15,73,C1524,5,192,13.35,2022-03-27 18:14:51,768.0
234,11,70,C1552,4,216,10.05,2021-01-08 04:15:20,820.8
235,14,37,C1795,2,475,1.93,2022-05-04 07:04:26,855.0
236,15,77,C1134,2,475,7.71,2023-09-07 22:57:57,760.0
237,5,51,C219,4,450,19.02,2021-05-25 17:12:56,1620.0
238,7,100,C1054,5,422,16.66,2023-06-18 14:02:41,2110.0
239,9,74,C1507,2,240,15.04,2022-05-12 23:47:23,456.0
240,1,52,C1312,1,310,6.61,2022-07-14 07:03:42,263.5
241,4,46,C830,1,190,5.09,2021-06-29 19:59:01,190.0
242,8,36,C586,2,109,2.46,2021-09-20 21:19:14,207.1
243,2,4,C1109,4,164,13.05,2021-11-14 02:01:02,656.0
244,10,2,C1021,1,159,3.38,2022-06-10 09:27:30,135.15
245,11,26,C58,1,422,5.4,2023-09-14 15:20:30,358.7
246,10,32,C1788,5,216,17.86,2021-08-17 08:15:08,1026.0
247,3,10,C1303,1,57,18.54,2021-08-10 13:21:18,57.0
248,15,25,C1801,4,305,16.2,2023-05-06 18:38:13,1098.0
249,10,60,C515,5,435,3.32,2022-12-26 07:52:51,2066.25
250,13,25,C97,4,157,11.65,2021-02-16 17:16:29,628.0
251,7,90,C1094,4,63,3.51,2023-06-01 16:38:18,214.2
252,14,97,C1824,3,39,0.45,2022-11-30 14:35:15,99.45
253,7,53,C645,4,136,6.33,2021-09-26 22:23:14,435.20000000000005
254,15,50,C1023,5,163,4.21,2022-02-12 07:21:37,692.75
255,6,87,C1998,4,136,9.49,2022-05-25 03:13:37,489.6
256,3,66,C258,1,187,4.19,2021-09-02 00:59:21,187.0
257,7,83,C1608,3,74,15.88,2023-05-05 16:42:23,177.60000000000002
258,10,89,C836,1,300,14.4,2021-04-13 03:52:46,240.0
259,9,50,C1180,4,388,8.26,2023-01-21 09:15:11,1552.0
260,2,30,C85,3,31,19.44,2021-06-29 17:48:32,93.0
261,7,76,C1415,2,325,3.06,2022-09-18 05:43:30,552.5
262,9,92,C861,1,253,2.99,2022-03-23 15:31:36,215.04999999999998
263,3,53,C1042,1,369,10.15,2022-01-12 14:56:01,295.2
264,5,89,C1200,4,149,9.5,2022-06-17 08:14:27,596.0
265,14,91,C608,4,369,3.49,2023-04-01 23:52:45,1328.4
266,13,9,C1227,5,318,0.33,2021-05-12 11:37:13,1510.5
267,1,64,C1064,5,57,2.71,2021-09-07 22:57:24,270.75
268,8,29,C196,2,31,16.16,2023-04-03 06:40:08,52.699999999999996
269,13,33,C1369,5,300,17.74,2023-03-24 22:13:24,1500.0
270,12,54,C332,3,259,4.55,2023-02-03 19:49:51,621.6
271,10,91,C343,2,62,2.15,2023-11-01 08:17:38,105.39999999999999
272,8,35,C665,1,364,17.05,2022-07-17 18:22:27,327.6
273,11,28,C1925,4,358,5.76,2022-08-27 01:52:32,1217.2
274,4,66,C1963,4,396,8.18,2021-12-26 02:18:16,1267.2
275,4,61,C1352,2,122,15.99,2023-02-09 10:28:07,244.0
276,6,90,C1687,4,72,11.42,2023-02-02 13:23:56,230.4
277,8,77,C458,1,157,15.63,2022-06-23 02:17:48,149.15
278,8,95,C1795,5,74,14.71,2021-10-08 08:37:59,296.0
279,13,19,C1023,1,120,1.0,2021-02-03 18:25:07,120.0
280,4,75,C1672,1,391,14.64,2023-03-01 13:59:45,371.45
281,1,32,C1004,1,138,11.71,2023-06-10 13:53:44,124.2
282,15,72,C1420,3,106,4.07,2023-07-23 04:38:55,286.2
283,7,7,C1551,3,412,3.02,2022-05-26 08:38:37,988.8000000000001
284,5,31,C81,3,109,18.59,2022-06-04 10:35:01,310.65
285,7,6,C917,4,152,15.85,2022-07-02 22:05:12,547.2
286,1,7,C1702,5,222,13.08,2021-06-18 10:32:53,999.0
287,5,14,C1060,3,136,19.88,2021-06-24 03:58:35,346.8
288,14,95,C20,4,388,10.36,2023-02-20 02:20:53,1396.8
289,10,67,C1901,3,39,5.71,2021-09-23 14:54:46,105.3
290,13,55,C1161,2,250,7.46,2022-09-24 00:20:15,425.0
291,6,40,C1954,1,477,0.25,2023-06-06 19:54:35,477.0
292,10,84,C1614,1,344,19.89,2023-01-13 04:18:16,326.8
293,3,80,C554,2,412,2.63,2022-01-13 18:50:00,741.6
294,2,60,C1721,5,397,13.28,2023-07-24 14:45:32,1687.25
295,4,1,C1230,5,109,9.43,2021-05-22 07:12:08,545.0
296,9,11,C1411,3,39,10.45,2023-02-26 04:53:47,93.60000000000001
297,13,3,C393,2,190,11.75,2021-09-27 12:04:40,342.0
298,14,11,C501,1,401,2.49,2021-02-27 22:48:55,401.0
299,1,1,C52,5,176,4.39,2021-05-05 06:20:43,704.0
300,9,92,C182,5,477,12.17,2021-05-26 11:00:51,2027.25
301,2,72,C52,1,216,4.54,2022-03-04 00:36:12,194.4
302,6,14,C448,3,53,19.42,2021-07-17 05:01:20,151.04999999999998
303,14,98,C230,4,397,0.28,2022-09-16 16:04:06,1349.8
304,1,25,C914,3,369,19.85,2023-08-17 16:19:25,1107.0
305,10,43,C1903,3,397,14.97,2021-09-28 00:15:07,1071.9
306,15,77,C979,4,259,1.01,2022-09-22 15:28:00,1036.0
307,7,65,C113,1,55,14.95,2021-07-16 08:23:07,49.5
308,4,23,C128,2,493,5.26,2023-03-18 20:45:35,838.1
309,10,99,C1138,4,240,6.68,2022-06-21 01:15:09,816.0
310,5,24,C174,2,391,4.9,2021-01-27 14:07:56,703.8000000000001
311,7,54,C1016,2,450,6.66,2023-04-05 10:23:21,810.0
312,9,38,C1972,3,305,7.94,2021-01-11 06:55:31,823.5
313,6,40,C1905,5,222,2.6,2021-09-04 00:09:01,999.0
314,10,75,C576,5,190,17.18,2022-02-25 04:15:47,855.0
315,2,85,C1080,3,136,2.56,2021-03-17 16:34:24,367.2
316,3,37,C1032,4,250,7.16,2021-09-25 11:03:21,850.0
317,13,19,C1908,2,153,7.48,2023-10-30 13:34:23,275.40000000000003
318,15,61,C496,3,152,1.2,2021-11-19 18:21:32,364.8
319,6,48,C367,3,253,11.98,2021-06-27 23:50:15,607.2
320,4,34,C1576,5,384,16.86,2023-05-06 07:59:47,1824.0
321,4,40,C735,5,55,6.44,2022-09-02 16:58:47,220.0
322,12,100,C795,4,176,4.64,2022-01-03 12:55:43,563.2
323,10,40,C80,4,406,14.42,2021-12-26 01:50:03,1299.2
324,8,70,C1562,2,403,7.28,2021-09-01 15:49:59,725.4
325,10,4,C950,5,406,14.12,2023-07-26 17:12:28,1827.0
326,12,68,C343,2,159,13.72,2021-11-16 15:31:16,270.3
327,3,19,C1349,3,62,9.88,2022-03-10 00:01:02,167.4
328,2,84,C661,5,194,10.37,2023-01-15 15:51:38,921.5
329,5,56,C589,1,187,17.16,2023-02-21 04:24:37,149.6
330,5,35,C207,2,364,17.88,2023-01-15 05:58:46,691.6
331,12,66,C1698,2,337,12.26,2023-08-03 17:46:52,606.6
332,2,65,C699,2,122,7.78,2021-11-08 23:34:30,219.6
333,2,39,C1602,3,55,18.35,2023-01-25 05:42:14,132.0
334,11,87,C1456,4,437,12.71,2021-05-30 15:12:39,1748.0
335,11,62,C525,1,286,0.19,2022-04-05 18:21:02,243.1
336,10,46,C397,5,116,3.67,2023-04-14 04:24:00,464.0
337,10,54,C145,4,120,8.32,2022-06-07 02:19:20,456.0
338,6,88,C1438,2,39,10.64,2022-04-25 01:57:15,78.0
339,12,81,C1288,1,50,0.1,2023-10-14 02:09:46,40.0
340,5,43,C1078,3,310,16.41,2021-01-15 17:08:37,790.5
341,9,28,C1873,5,138,3.42,2022-05-01 05:34:52,621.0
342,15,96,C1707,1,384,14.22,2021-09-28 20:40:02,384.0
343,6,83,C1335,2,461,10.17,2021-06-18 16:04:12,875.9
344,4,69,C870,4,194,10.08,2022-11-16 00:29:51,659.6
345,13,16,C1089,2,222,2.48,2022-09-04 12:53:45,444.0
346,1,73,C1033,4,138,9.16,2022-07-31 16:06:50,496.8
347,1,100,C178,3,109,3.59,2023-01-30 04:37:24,261.6
348,6,13,C976,1,38,10.09,2021-08-13 09:53:00,34.2
349,1,74,C551,3,401,18.65,2023-04-24 10:53:06,1203.0
350,7,63,C685,4,62,11.33,2021-05-04 22:26:54,198.4
351,14,33,C1720,3,384,18.48,2022-12-27 19:11:55,1036.8
352,4,52,C546,3,475,12.45,2023-08-22 02:07:53,1211.25
353,1,14,C275,1,300,10.7,2023-10-27 11:53:15,270.0
354,15,43,C738,5,325,7.2,2023-07-04 12:09:34,1625.0
355,5,6,C240,3,109,14.68,2021-07-06 12:04:58,327.0
356,12,2,C496,1,245,6.37,2022-11-24 11:24:01,208.25
357,14,40,C988,3,138,6.77,2021-01-20 11:50:12,351.9
358,15,64,C656,1,50,9.12,2023-10-19 05:05:31,50.0
359,8,11,C1286,2,299,19.21,2021-01-14 13:10:36,508.3
360,10,62,C1017,3,391,9.75,2023-04-20 14:13:11,1114.35
361,1,3,C1796,5,435,15.71,2022-10-23 08:24:10,2175.0
362,12,5,C332,2,39,18.66,2022-01-26 03:35:46,78.0
363,11,4,C828,2,138,10.13,2022-03-22 15:33:38,220.8
364,13,62,C1216,5,337,0.02,2021-04-30 19:54:26,1516.5
365,13,73,C1081,3,38,4.24,2023-02-01 16:00:32,102.60000000000001
366,6,84,C647,2,310,13.02,2022-10-27 08:11:36,558.0
367,6,71,C1310,5,466,12.77,2022-10-27 13:08:02,2330.0
368,13,62,C1803,2,217,2.88,2021-03-24 03:35:10,368.9
369,11,99,C19,3,159,19.03,2021-11-09 23:26:22,405.45
370,13,18,C1907,2,31,18.54,2022-05-05 12:16:27,58.9
371,3,61,C1187,1,353,8.77,2022-07-07 09:33:46,353.0
372,13,62,C1714,5,253,17.19,2021-12-16 23:55:28,1201.75
373,8,98,C1750,1,22,7.82,2021-08-14 10:55:30,17.6
374,10,62,C1236,4,106,17.35,2021-11-01 23:23:15,381.6
375,4,18,C137,1,192,5.58,2022-07-11 06:36:32,172.8
376,5,6,C368,2,384,16.45,2022-01-08 19:32:48,652.8
377,6,42,C1940,3,62,17.75,2021-04-22 17:28:40,158.1
378,5,45,C6,1,122,9.8,2022-01-19 08:25:04,109.8
379,7,46,C1653,4,308,9.0,2022-09-04 04:08:24,1047.2
380,1,50,C869,5,164,2.89,2022-05-14 06:19:05,656.0
381,15,73,C1470,3,180,19.92,2022-09-07 01:13:19,432.0
382,8,76,C1195,4,412,19.22,2023-01-19 04:05:25,1483.2
383,11,39,C1699,3,122,6.9,2022-05-13 16:27:32,329.40000000000003
384,3,28,C1107,4,325,1.26,2021-04-19 10:00:17,1105.0
385,13,61,C326,2,384,1.8,2021-07-08 16:36:22,691.2
386,1,58,C1353,5,74,8.78,2023-04-04 08:09:06,333.0
387,12,86,C1521,3,396,9.07,2022-07-22 07:55:37,1128.6
388,4,80,C1975,1,308,2.27,2021-03-23 12:49:53,246.4
389,4,63,C1149,2,72,0.21,2021-08-07 18:23:51,129.6
390,12,77,C1828,5,39,9.08,2022-07-23 15:57:20,195.0
391,9,69,C1995,2,53,16.09,2022-09-26 15:40:10,106.0
392,14,3,C1335,5,308,13.39,2021-04-29 03:22:43,1463.0
393,2,18,C270,3,39,8.64,2023-03-03 03:46:27,105.3
